# Asha DNS Tuner — curated resolvers list
# Format: Category|Name|IP
# Categories: ANTI_SANCTION (Iranian anti-sanction) or GLOBAL (International public DNS)

# --- Iranian Anti-Sanction Resolvers ---
ANTI_SANCTION|Shecan|178.22.122.100
ANTI_SANCTION|Shecan 2|185.51.200.2
ANTI_SANCTION|403.online|10.202.10.202
ANTI_SANCTION|403.online 2|10.202.10.102
ANTI_SANCTION|Begzar|185.55.226.26
ANTI_SANCTION|Begzar 2|185.55.225.25
ANTI_SANCTION|Electro|78.157.42.100
ANTI_SANCTION|Electro 2|78.157.42.101
ANTI_SANCTION|Radar Game|10.202.10.10
ANTI_SANCTION|Radar Game 2|10.202.10.11
ANTI_SANCTION|Shankarouyeh|94.103.125.157
ANTI_SANCTION|Pishgaman|5.202.100.100

# --- High-Performance Global Resolvers ---
GLOBAL|Cloudflare|1.1.1.1
GLOBAL|Cloudflare 2|1.0.0.1
GLOBAL|Google|8.8.8.8
GLOBAL|Google 2|8.8.4.4
GLOBAL|Quad9|9.9.9.9
GLOBAL|Quad9 2|149.112.112.112
GLOBAL|OpenDNS|208.67.222.222
GLOBAL|OpenDNS 2|208.67.220.220
GLOBAL|AdGuard DNS|94.140.14.14
GLOBAL|AdGuard DNS 2|94.140.15.15
GLOBAL|ControlD|76.76.2.0
GLOBAL|DNS.WATCH|84.200.69.80
